id,lang,term,canonical_en,description,category_hint_l1,category_hint_l2,category_hint_l3
79012ea7-27d9-5bf6-8350-a37da522dfce,el,Ψωμί,bread,"bread, typically a sourdough wheat loaf",Grains and grain-based products,Bread and rolls,
be1094ea-21a3-524f-a0a2-48a35faa5c27,el,Κριτσίνι,bread sticks (grissini),"kritsinia, crunchy bread sticks",Grains and grain-based products,Bread and rolls,
37b31bc5-ea0c-5538-aa56-3ee0763a95aa,el,Αμυγδαλωτά,almond macaroons,"amygdalota, soft almond macaroons",Grains and grain-based products,Fine bakery wares,
d3ef2466-e6c8-5cdb-8d8c-a26d606535ae,el,Βουτήματα,dunking biscuits,"voutimata, hard biscuits for dunking",Grains and grain-based products,Fine bakery wares,
137cc18e-7563-5eea-a26a-4dfc34c4f609,el,Μουστοκούλουρο,grape-must cookies,"moustokouloura, spiced cookies sweetened with grape-must syrup (petimezi)",Grains and grain-based products,Fine bakery wares,
33c8d7e5-9446-50b4-802a-8667717f9ea3,el,Κουλουράκι,cookies,"koulourakia, traditional Greek butter or olive-oil cookies",Grains and grain-based products,Fine bakery wares,
d1c99253-78e8-5598-b113-86e5ec3beac6,el,Λαδοκούλουρα,olive-oil cookies,"ladokouloura, olive-oil cookies",Grains and grain-based products,Fine bakery wares,
5059bc95-dc55-5944-a2db-956cd9b4dbab,el,Παξιμαδάκι,biscotti,"paximadaki, sweet twice-baked biscotti (almond, orange, cocoa)",Grains and grain-based products,Fine bakery wares,
5ece1cbf-ce48-5dc4-8650-e364663096c0,el,Μπισκότο,biscuit / cookie,biscuits and cookies,Grains and grain-based products,Fine bakery wares,
6d562877-4c77-5729-9f3c-abb55b1182a0,el,Φρυγανιά,melba toast,"frygania, dry toasted bread (melba toast)",Grains and grain-based products,Bread and rolls,
34fe3d1d-30ef-506f-a84f-1dbf2a7e69e4,el,Κρουτόν,croutons,"croutons, dried or toasted bread cubes",Grains and grain-based products,Bread and rolls,
aedc711f-19ef-512e-bb4e-2c8c2556dd26,el,Κρουασάν,croissant,"croissant, often filled with hazelnut praline or chocolate",Grains and grain-based products,Fine bakery wares,
07f98c83-ea9d-5fa3-9a87-ad6737baeb1c,el,Κουλούρι,koulouri (bread ring),"koulouri, sesame-crusted bread ring",Grains and grain-based products,Bread and rolls,
0b2a19d2-382b-5c19-a009-9689f5a462cf,el,Τσουρέκι,tsoureki,"tsoureki, sweet braided brioche flavoured with mahleb and mastic",Grains and grain-based products,Fine bakery wares,
eca546e3-6e9a-522f-aa90-36c2ccec4eab,el,Κέικ,cake,cake (loaf or marble cake),Grains and grain-based products,Fine bakery wares,
54e342e1-3f94-50f9-a754-8bd1b19965dd,el,Ρολό κανέλας,cinnamon roll,cinnamon roll with raisins,Grains and grain-based products,Fine bakery wares,
bb9156db-b6cc-5641-bfbf-aa169d925c3b,el,Γλυκό καρύδας,coconut sweet,"coconut sweet, a coconut-egg-flour cake",Grains and grain-based products,Fine bakery wares,
3ee7e19d-8ba0-5660-b2f4-2ff8bdcefe0b,el,Παστέλι,pasteli,"pasteli, sesame and honey brittle bar",Sugar and confectionary,Confectionery (non-chocolate),
5c3f4f97-1d41-5517-84d5-30aa91dd134e,el,Μάντολα,mandola,"mandola, caramelised almond confection",Sugar and confectionary,Confectionery (non-chocolate),
325849c8-7334-5007-a008-98b5fec71e95,el,Μαντολάτο,mandolato (nougat),"mandolato, soft nougat with nuts and honey",Sugar and confectionary,Confectionery (non-chocolate),
2d3643ce-37eb-5611-9941-1435a84056ba,el,Σισαμόπιτα,sesame brittle,"sisamopita, sesame and honey brittle",Sugar and confectionary,Confectionery (non-chocolate),
c906dcde-e5bb-5dfb-bf78-8249b252a249,el,Λυχναράκια,lychnarakia,"lychnarakia, sweet Cretan Easter cheese pastries",Grains and grain-based products,Fine bakery wares,
c9ea48c0-809f-5fd8-9d8e-f215fbfac9e0,el,Ξεροτήγανα,xerotigana (diples),"xerotigana (diples), fried dough ribbons drizzled with honey",Grains and grain-based products,Fine bakery wares,
